channel_id,video_id,title,summary,views_in_period
UC510QYlOlKNyhy_zdQxnGYw,qjY9kmveQAk,Why Does Russia insist on still using Armored Trains?,"The video explores Russia's historical and current use of armored trains, highlighting their resurgence in Ukraine due to logistical challenges and tradition despite advancements in modern military technology.",1608
UC510QYlOlKNyhy_zdQxnGYw,1gP5gZN8PnA,Absurd Stories from the Afghanistan War,"The video recounts two harrowing true stories from the Afghanistan war: the daring medevac rescue of a U.S. Marine impaled with an unexploded RPG and the tragic Kajaki Dam incident, highlighting both extraordinary acts of bravery and devastating operational failures.",2101
UC510QYlOlKNyhy_zdQxnGYw,-baLwjsjM34,Bro does Beer Run for his Buddies in Vietnam War,"The video recounts the incredible true story of John ""Chickie"" Donohue, who in 1967 risked his life by sneaking into war-torn Vietnam to deliver beers to his neighborhood friends serving on the frontlines, an adventure later made into book and film.",1607
UC510QYlOlKNyhy_zdQxnGYw,XZz8VVKHDcU,How a Lone US Sub Destroyed Japan's Most Important Ship in WW2,"The video details the history and significance of the Japanese aircraft carrier Shokaku, highlighting its major World War II battles, technological advancements, and ultimate sinking during the Battle of the Philippine Sea, marking a pivotal loss for Japan's naval power.",504
UC510QYlOlKNyhy_zdQxnGYw,_fN_Z6cbx5M,Waffen SS vs. Vietcong - Who Would Win?,"The video compares the Viet Cong and Waffen SS, concluding that the SS would dominate in open combat due to superior training and aggression, while the Viet Cong’s guerrilla tactics and adaptability would ensure victory in protracted jungle warfare.",2905
UC510QYlOlKNyhy_zdQxnGYw,p-utVYtJ5Zk,Japans History Highlights,"This video provides an in-depth historical overview of the Yakuza's origins, rituals, organizational structure, and influence in Japan; the evolution and actions of the Japanese military; Edo-period society and culture; and notable events including atomic bomb survivorship and the Yamaichi gang war.",230
UC510QYlOlKNyhy_zdQxnGYw,J8VR1oFjwCk,Gun Loadouts used by the Worlds most Elite Units,"The video explores the specialized weapons and equipment used by elite military units worldwide—including Ukrainian, American, British, Russian, and Israeli Special Forces—highlighting their advanced features and crucial roles in enhancing operational effectiveness.",700
UC510QYlOlKNyhy_zdQxnGYw,FDLJWjXv-Bc,How Tanks are Stolen in War,"The video explores the challenges of capturing enemy tanks intact, highlighting historical and modern examples—like Ukraine’s use of abandoned Russian tanks—while emphasizing that forcing crews to abandon vehicles is usually the only practical way to seize and repurpose them.",806
UC510QYlOlKNyhy_zdQxnGYw,g0IelB_oxls,Dirtiest Tricks Used in War,"The video explores some of the dirtiest and most underhanded tactics used in warfare throughout history, from sabotaged ammunition in Vietnam to psychological and physical warfare in conflicts ancient and modern, highlighting how pragmatism often overrides honor in battle.",35830
UC510QYlOlKNyhy_zdQxnGYw,52fq8E9LWE8,Miserable History of Medicine,"The video explores the evolution of medical understanding and practices from the 16th century to the modern era, highlighting the deadly health challenges faced by people—such as scurvy, the Black Death, Spanish Flu, and unsafe medical procedures—before the advances of modern science and technology.",257
UC510QYlOlKNyhy_zdQxnGYw,OxOT6FQCTuE,The Forgotten Stalingrad of Asia (WWII),"The Battle of Kohima (April–June 1944) was a pivotal Allied victory in World War II’s Burma campaign, where British and Indian troops, enduring a brutal siege and fierce combat—epitomized by the “tennis court” fight—repelled the Japanese offensive and turned the tide in Asia.",1324
UC510QYlOlKNyhy_zdQxnGYw,Ljm-mXN0Z84,Why you Must NOT Shoot Medics in War,"This video explores the historical evolution and challenges of battlefield rules protecting medics and officers, highlighting how conventions like the Geneva Convention sought to shield non-combatants, but were frequently violated—especially during World War II—resulting in deliberate targeting and war crimes.",2456
UC510QYlOlKNyhy_zdQxnGYw,8savDdUMOoU,Axis Punishments of WW2,"The video details the brutal execution methods and war crimes committed by Nazi Germany and Imperial Japan during World War II, highlighting atrocities such as beheading, use of the guillotine, torture, cannibalism, and live dissection of prisoners.",2111
UC510QYlOlKNyhy_zdQxnGYw,EjouQ4y0ATY,Bizarre and Mysterious: Deaths Throughout History,"This video explores history's strangest and most gruesome deaths, from the preserved corpses marking Mount Everest's dangers, to bizarre accidents, notorious assassinations, and unusual medical mishaps, highlighting how fate and circumstance have led to remarkable demises across time.",2021
UC510QYlOlKNyhy_zdQxnGYw,o80Anz6Wn2g,Haiti's Voodoo Dictator from Hell - Papa Doc Duvalier,"The video recounts the brutal 1957–1971 dictatorship of François ""Papa Doc"" Duvalier in Haiti, highlighting his use of violence, voodoo mystique, and the notorious Tonton Macoute militia to terrorize and oppress the Haitian people, resulting in tens of thousands of deaths.",5988
UC510QYlOlKNyhy_zdQxnGYw,2slKliE5u6Y,Most Fearsome Warriors in History,"The video explores some of history’s most feared warrior groups—including Italy’s Arditi, Nepal’s Gurkhas, the Zulu, Comanche, and Māori—detailing their origins, tactics, weaponry, and legendary reputations for bravery and ferocity in battle.",5835
UC510QYlOlKNyhy_zdQxnGYw,qeve4_CDxXU,Infamous Cases of Cannibalism in History,"This video explores historical cases of extreme cruelty and survival, including Aztec human sacrifices, George H.W. Bush's WWII near-capture by cannibals, the cannibalism on Siberia's Nazino Island and in Australian penal colonies, and the infamous crimes of Countess Elizabeth Bathory.",523
UC510QYlOlKNyhy_zdQxnGYw,rj3-lNTs7tM,Weird Tanks in History - Engineering Fails,"This video explores the history of ""Frankenstein tanks""—vehicles cobbled together from mismatched or salvaged parts out of necessity or desperation—from World War II through present-day conflicts like Ukraine, detailing notable examples and their effectiveness or failures.",3412
UC510QYlOlKNyhy_zdQxnGYw,sEiyR7-0FOA,STOP Repeating these Military LIES,"This video debunks widespread myths about military history—including misconceptions about the French military's reputation, Polish cavalry in WWII, the U.S. military, the vanished battalion at Gallipoli, Roman culture, and the use of wartime fake news and propaganda.",7288
UC510QYlOlKNyhy_zdQxnGYw,hGPrA8RESAA,Soldier Kamikaze in WW1 (Grenadier's Leap),"The video recounts the heroic defense of Monte Cengio by the Italian Sardinian Grenadiers during the 1916 Austro-Hungarian Strafexpedition, where outnumbered troops fought fiercely—some even leaping off cliffs with their enemies—to prevent an Austrian breakthrough toward Venice.",619
UC510QYlOlKNyhy_zdQxnGYw,1c-hVoHCMpo,Old WW1 Veterans who Kept Fighting in WW2,"This video profiles three elderly World War I veterans—Walter Ernest Brown, Adrien Carton de Wiart, and George S. Patton—who returned to fight in World War II, highlighting their bravery, resilience, and the extraordinary actions they undertook despite their age.",1029
UC510QYlOlKNyhy_zdQxnGYw,f_ACIztPQs0,10 Years of YouTube...,"Chris Kane of Simple History recounts the channel’s growth from short, founder-run animations to a global team producing longer, in-depth videos, and announces a shift toward Patreon support to fund more ambitious and uncensored historical content.",231
UC510QYlOlKNyhy_zdQxnGYw,4Ar-Jbbaoho,Life inside a WW2 KV-1 Tank (Cross section),"The KV-1 was a heavily armored Soviet heavy tank of World War II, notable for its early combat durability and impact, but ultimately outclassed due to its poor mobility, mechanical unreliability, and the advent of more advanced enemy armor.",3210
UC510QYlOlKNyhy_zdQxnGYw,wh1dJ4vr5Zs,Dogs of War - The Hero Canines of WW2,"This video recounts the heroic deeds of dogs awarded the Dickin Medal—known as the animal Victoria Cross—for their bravery and lifesaving actions in World War II, highlighting their crucial roles in military operations, rescue missions, and boosting human morale.",1849
